,county,state,population,dc,obs_dr,pred_dr,pred_dc,pred_dr_err_low,pred_dr_err_upp,pred_dc_err_low,pred_dc_err_upp
504,Ware,GA,35471,1.0,0.2819204420512531,2.6102000000000002e-05,9.0,1.68514e-05,3.56397e-05,2.0,14.0
505,Warren,GA,6078,1.0,1.6452780519907866,4.17507e-05,2.0,2.84383e-05,5.91476e-05,0.0,5.0
506,Washington,GA,19112,3.0,1.569694432817078,3.621455e-05,7.0,2.31959e-05,4.83923e-05,2.0,11.0
507,Wayne,GA,22356,8.0,3.5784576847378786,4.22258e-05,9.0,2.91401e-05,5.5598e-05,3.0,15.0
508,Webster,GA,2263,0.0,0.0,4.337585e-05,1.0,2.72907e-05,5.95743e-05,0.0,2.0
509,Wheeler,GA,4903,1.0,2.039567611666327,4.30737e-05,2.0,2.77557e-05,5.94252e-05,0.0,4.0
510,White,GA,13006,4.0,3.075503613716746,4.217505e-05,5.0,2.72763e-05,5.60788e-05,1.0,9.0
511,Whitfield,GA,72462,20.0,2.760067345643234,3.439745e-05,25.0,2.53026e-05,4.3181e-05,15.0,35.0
512,Wilcox,GA,7008,0.0,0.0,3.9231000000000004e-05,3.0,2.4628e-05,5.38681e-05,0.0,5.0
513,Wilkes,GA,10597,4.0,3.774653203736907,4.423325e-05,5.0,3.05583e-05,6.04126e-05,1.0,8.0
514,Wilkinson,GA,10228,1.0,0.9777082518576458,3.8731449999999997e-05,4.0,2.43812e-05,5.32445e-05,0.0,7.0
515,Worth,GA,19745,1.0,0.5064573309698659,3.28811e-05,6.0,2.07965e-05,4.47476e-05,2.0,11.0
516,Ada,ID,205775,0.0,0.0,7.764975e-06,16.0,5.09565e-06,1.08952e-05,7.0,24.0
517,Adams,ID,3254,0.0,0.0,4.275085e-05,1.0,2.75822e-05,5.89405e-05,0.0,3.0
518,Bannock,ID,66026,0.0,0.0,1.815765e-05,12.0,1.20251e-05,2.51331e-05,4.0,18.0
519,Bear lake,ID,6084,0.0,0.0,4.0067599999999996e-05,2.0,2.64404e-05,5.5577e-05,0.0,5.0
520,Benewah,ID,7937,0.0,0.0,3.864145e-05,3.0,2.49254e-05,5.38547e-05,0.0,6.0
521,Bingham,ID,37583,0.0,0.0,2.43463e-05,9.0,1.58071e-05,3.34835e-05,2.0,14.0
522,Blaine,ID,13552,0.0,0.0,3.490165e-05,5.0,2.17942e-05,4.77185e-05,1.0,8.0
523,Boise,ID,3509,0.0,0.0,4.244665e-05,1.0,2.67954e-05,5.86287e-05,0.0,3.0
524,Bonner,ID,26622,0.0,0.0,2.8331099999999997e-05,7.0,1.78937e-05,3.87234e-05,2.0,12.0
525,Bonneville,ID,72207,0.0,0.0,1.699235e-05,12.0,1.12546e-05,2.36732e-05,5.0,19.0
526,Boundary,ID,8332,0.0,0.0,3.820515e-05,3.0,2.43069e-05,5.22169e-05,0.0,6.0
527,Butte,ID,2918,0.0,0.0,4.2417300000000005e-05,1.0,2.74456e-05,5.95415e-05,0.0,3.0
528,Camas,ID,727,0.0,0.0,4.461735e-05,0.0,2.9111e-05,6.22823e-05,0.0,1.0
529,Canyon,ID,90076,0.0,0.0,1.46468e-05,13.0,9.98999e-06,2.03541e-05,5.0,20.0
530,Caribou,ID,6963,0.0,0.0,3.9223250000000004e-05,3.0,2.5437e-05,5.49957e-05,0.0,5.0
531,Cassia,ID,19532,0.0,0.0,3.14187e-05,6.0,1.92786e-05,4.29718e-05,1.0,10.0
532,Clark,ID,762,0.0,0.0,4.5073150000000004e-05,0.0,2.87485e-05,6.24064e-05,0.0,1.0
533,Clearwater,ID,8505,0.0,0.0,3.84706e-05,3.0,2.44824e-05,5.35898e-05,0.0,6.0
534,Custer,ID,4133,0.0,0.0,4.197515e-05,2.0,2.68987e-05,5.82456e-05,0.0,4.0
535,Elmore,ID,21205,0.0,0.0,3.05333e-05,6.0,1.98058e-05,4.30269e-05,2.0,11.0
536,Franklin,ID,9232,0.0,0.0,3.73561e-05,3.0,2.43995e-05,5.27925e-05,0.0,6.0
537,Fremont,ID,10937,0.0,0.0,3.644105e-05,4.0,2.32803e-05,4.97742e-05,0.0,7.0
538,Gem,ID,11844,0.0,0.0,3.54977e-05,4.0,2.29319e-05,4.92851e-05,0.0,7.0
539,Gooding,ID,11633,0.0,0.0,3.576495e-05,4.0,2.27864e-05,4.98468e-05,0.0,7.0
540,Idaho,ID,13783,0.0,0.0,3.43795e-05,5.0,2.16279e-05,4.74105e-05,1.0,8.0
541,Jefferson,ID,16543,0.0,0.0,3.29744e-05,5.0,2.07555e-05,4.52611e-05,1.0,9.0
542,Jerome,ID,15138,0.0,0.0,3.3753250000000004e-05,5.0,2.16645e-05,4.70573e-05,1.0,9.0
543,Kootenai,ID,69795,0.0,0.0,1.715665e-05,12.0,1.08231e-05,2.35478e-05,5.0,19.0
544,Latah,ID,30617,0.0,0.0,2.6474750000000003e-05,8.0,1.65477e-05,3.6306e-05,2.0,13.0
545,Lemhi,ID,6899,0.0,0.0,3.9592900000000005e-05,3.0,2.56948e-05,5.59523e-05,0.0,5.0
546,Lewis,ID,3516,0.0,0.0,4.2340649999999996e-05,1.0,2.72205e-05,5.92193e-05,0.0,3.0
547,Lincoln,ID,3308,0.0,0.0,4.2356e-05,1.0,2.70607e-05,5.84717e-05,0.0,3.0
548,Madison,ID,23674,0.0,0.0,2.93754e-05,7.0,1.87933e-05,4.1494e-05,1.0,11.0
549,Minidoka,ID,19361,0.0,0.0,3.1623249999999996e-05,6.0,2.06528e-05,4.43935e-05,1.0,10.0
550,Nez perce,ID,33754,0.0,0.0,2.577615e-05,8.0,1.62068e-05,3.53441e-05,3.0,14.0
551,Oneida,ID,3492,0.0,0.0,4.246525e-05,1.0,2.63996e-05,5.78572e-05,0.0,3.0
552,Owyhee,ID,8392,0.0,0.0,3.817325e-05,3.0,2.45482e-05,5.3118e-05,0.0,6.0
553,Payette,ID,16434,0.0,0.0,3.29978e-05,5.0,2.05238e-05,4.45567e-05,1.0,9.0
554,Power,ID,7086,0.0,0.0,3.92247e-05,3.0,2.56522e-05,5.45172e-05,0.0,5.0
555,Shoshone,ID,13931,0.0,0.0,3.455675e-05,5.0,2.19785e-05,4.78395e-05,0.0,8.0
556,Teton,ID,3439,0.0,0.0,4.257555e-05,1.0,2.81048e-05,5.85215e-05,0.0,3.0
557,Twin falls,ID,53580,0.0,0.0,2.0014200000000002e-05,11.0,1.32383e-05,2.75302e-05,4.0,17.0
558,Valley,ID,6109,0.0,0.0,3.97611e-05,2.0,2.52655e-05,5.48888e-05,0.0,5.0
559,Washington,ID,8550,0.0,0.0,3.81836e-05,3.0,2.39622e-05,5.27894e-05,0.0,6.0
560,Adams,IL,66090,14.0,2.118323498259948,3.066775e-05,20.0,2.24322e-05,3.98698e-05,12.0,30.0
561,Alexander,IL,10626,2.0,1.8821757952192737,4.05146e-05,4.0,2.60468e-05,5.49768e-05,0.0,7.0
562,Bond,IL,14991,6.0,4.002401440864518,4.396615e-05,6.0,3.03091e-05,5.88022e-05,2.0,11.0
563,Boone,IL,30806,8.0,2.5968967084334222,3.720815e-05,11.0,2.62047e-05,4.88637e-05,6.0,18.0
564,Brown,IL,5836,1.0,1.7135023989033586,4.23049e-05,2.0,2.74301e-05,5.82122e-05,0.0,5.0
565,Bureau,IL,35688,19.0,5.323918403945303,4.893205e-05,17.0,3.70828e-05,6.28653e-05,9.0,25.0
566,Calhoun,IL,5322,2.0,3.7579857196542656,4.48157e-05,2.0,2.90067e-05,6.03822e-05,0.0,5.0
567,Carroll,IL,16805,12.0,7.1407319250223145,5.2978599999999995e-05,9.0,3.76729e-05,6.87492e-05,3.0,14.0
568,Cass,IL,13437,1.0,0.744213738185607,3.62541e-05,5.0,2.34707e-05,4.98678e-05,1.0,8.0
569,Champaign,IL,173025,31.0,1.791648605692819,2.351615e-05,40.0,1.84851e-05,2.92411e-05,26.0,53.0
570,Christian,IL,34418,12.0,3.4865477366494275,4.04463e-05,14.0,2.82071e-05,5.12796e-05,6.0,20.0
571,Clark,IL,15921,5.0,3.1405062496074363,4.1991349999999996e-05,6.0,2.77264e-05,5.69861e-05,2.0,11.0
572,Clay,IL,14460,13.0,8.990318118948824,5.655135e-05,8.0,4.08953e-05,7.34938e-05,3.0,13.0
573,Clinton,IL,33944,7.0,2.062220127268442,3.44888e-05,12.0,2.43434e-05,4.57329e-05,5.0,18.0
574,Coles,IL,51644,12.0,2.323600030981334,3.3460900000000003e-05,17.0,2.44823e-05,4.37818e-05,8.0,25.0
575,Cook,IL,5105067,1052.0,2.0606977342315,2.0800399999999998e-05,1060.0,1.9775e-05,2.18815e-05,983.0,1133.0
576,Crawford,IL,19464,7.0,3.596383066173448,4.22603e-05,8.0,3.00018e-05,5.59121e-05,3.0,13.0
577,Cumberland,IL,10670,2.0,1.8744142455482664,4.045825e-05,4.0,2.68308e-05,5.58669e-05,0.0,7.0
578,De witt,IL,16516,0.0,0.0,3.289825e-05,5.0,2.05137e-05,4.60113e-05,1.0,9.0
579,Dekalb,IL,77932,0.0,0.0,1.611065e-05,13.0,1.01283e-05,2.18844e-05,4.0,19.0
580,Douglas,IL,19464,3.0,1.5413070283600492,3.60241e-05,7.0,2.29609e-05,4.7925e-05,1.0,11.0
581,Dupage,IL,781666,0.0,0.0,2.3907300000000002e-06,19.0,1.51832e-06,3.26062e-06,9.0,28.0
582,Edgar,IL,19595,4.0,2.041337075784639,3.770395e-05,7.0,2.61267e-05,5.1892e-05,2.0,12.0
583,Edwards,IL,7440,0.0,0.0,3.888315e-05,3.0,2.47195e-05,5.36528e-05,0.0,5.0
584,Effingham,IL,31704,6.0,1.8925056775170328,3.41307e-05,11.0,2.37576e-05,4.53036e-05,4.0,16.0
585,Fayette,IL,20893,9.0,4.307662853587327,4.473415e-05,9.0,3.15593e-05,5.85792e-05,3.0,14.0
586,Ford,IL,14275,6.0,4.203152364273205,4.46249e-05,6.0,3.06763e-05,6.05575e-05,1.0,10.0
587,Franklin,IL,40319,17.0,4.216374414047968,4.3719e-05,17.0,3.20751e-05,5.51905e-05,9.0,25.0
588,Fulton,IL,38080,9.0,2.3634453781512605,3.5371e-05,13.0,2.53226e-05,4.62791e-05,6.0,20.0
589,Gallatin,IL,6909,1.0,1.4473874656245478,4.16714e-05,3.0,2.72046e-05,5.74226e-05,0.0,5.0
590,Greene,IL,15317,3.0,1.958608082522687,3.9023500000000003e-05,6.0,2.63081e-05,5.25965e-05,2.0,10.0
591,Grundy,IL,32337,7.0,2.164702971827937,3.499595e-05,11.0,2.51039e-05,4.57153e-05,4.0,17.0
592,Hamilton,IL,8499,6.0,7.059654076950229,4.981195e-05,4.0,3.38937e-05,6.75738e-05,0.0,7.0
593,Hancock,IL,21373,9.0,4.2109203200299445,4.407075e-05,9.0,3.09291e-05,5.74548e-05,4.0,15.0
594,Hardin,IL,5189,2.0,3.854307188282906,4.47431e-05,2.0,2.91273e-05,6.06647e-05,0.0,5.0
595,Henderson,IL,8096,0.0,0.0,3.836565e-05,3.0,2.38049e-05,5.31946e-05,0.0,6.0
596,Henry,IL,51159,18.0,3.5184425027854336,3.99402e-05,20.0,2.96217e-05,5.1028e-05,11.0,29.0
597,Iroquois,IL,30787,7.0,2.273686945788807,3.6324e-05,11.0,2.5721e-05,4.80461e-05,4.0,17.0
598,Jackson,IL,61067,15.0,2.456318469877348,3.321485e-05,20.0,2.46651e-05,4.33557e-05,11.0,29.0
599,Jasper,IL,10609,2.0,1.8851918182675087,4.03415e-05,4.0,2.59296e-05,5.42242e-05,0.0,7.0
600,Jefferson,IL,37020,9.0,2.4311183144246358,3.60718e-05,13.0,2.51741e-05,4.68007e-05,6.0,20.0
601,Jersey,IL,20539,5.0,2.4343931057987245,3.86908e-05,8.0,2.50092e-05,5.07076e-05,3.0,13.0
602,Jo daviess,IL,21821,0.0,0.0,3.01073e-05,6.0,1.87231e-05,4.17566e-05,2.0,11.0
603,Johnson,IL,11347,3.0,2.643870626597338,4.1463049999999996e-05,5.0,2.80402e-05,5.67273e-05,1.0,8.0
604,Kane,IL,317471,48.0,1.511949122912014,1.872635e-05,59.0,1.51514e-05,2.26195e-05,42.0,77.0
605,Kankakee,IL,96255,10.0,1.0389070697626095,2.1025799999999998e-05,20.0,1.49766e-05,2.75954e-05,11.0,29.0
606,Kendall,IL,39413,7.0,1.7760637353157585,3.23062e-05,13.0,2.2315e-05,4.25734e-05,5.0,19.0
607,Knox,IL,56393,13.0,2.3052506516766265,3.298075e-05,18.0,2.38456e-05,4.2752e-05,10.0,27.0
608,La salle,IL,106913,0.0,0.0,1.30581e-05,14.0,8.52424e-06,1.81576e-05,5.0,21.0
609,Lake,IL,516418,81.0,1.5684968378329185,1.793725e-05,93.0,1.50278e-05,2.08488e-05,70.0,113.0
610,Lawrence,IL,15972,8.0,5.008765339343852,4.679935e-05,7.0,3.23717e-05,6.10287e-05,2.0,12.0
611,Lee,IL,34392,4.0,1.1630611770179111,3.036725e-05,10.0,2.11763e-05,4.17077e-05,5.0,17.0
612,Livingston,IL,39301,12.0,3.053357420930765,3.85055e-05,15.0,2.66887e-05,4.90935e-05,7.0,22.0
613,Logan,IL,30798,4.0,1.2987856354308722,3.208385e-05,10.0,2.11088e-05,4.22968e-05,3.0,15.0
614,Macon,IL,117206,36.0,3.0715151101479448,3.465115e-05,41.0,2.71326e-05,4.24628e-05,25.0,53.0
615,Macoupin,IL,47679,20.0,4.194718848969147,4.35322e-05,20.0,3.19013e-05,5.47553e-05,11.0,29.0
616,Madison,IL,249238,63.0,2.527704443142699,2.826225e-05,70.0,2.34369e-05,3.38249e-05,50.0,88.0
617,Marion,IL,41561,11.0,2.6467120617886963,3.62109e-05,15.0,2.45577e-05,4.59586e-05,7.0,22.0
618,Marshall,IL,12846,5.0,3.892262182780632,4.4125099999999995e-05,6.0,2.92216e-05,5.891e-05,2.0,10.0
619,Mason,IL,16269,6.0,3.6879955744053103,4.3253099999999994e-05,7.0,2.85127e-05,5.75071e-05,3.0,12.0
620,Massac,IL,14752,1.0,0.6778741865509762,3.59346e-05,5.0,2.24067e-05,4.83407e-05,1.0,9.0
621,Mcdonough,IL,35244,0.0,0.0,2.52013e-05,9.0,1.59965e-05,3.44177e-05,3.0,14.0
622,Mchenry,IL,183241,0.0,0.0,8.67252e-06,16.0,5.4864e-06,1.17592e-05,7.0,24.0
623,Mclean,IL,129180,0.0,0.0,1.13569e-05,14.0,7.26927e-06,1.55434e-05,6.0,22.0
624,Menard,IL,11164,3.0,2.687208885704049,4.1755700000000004e-05,4.0,2.81208e-05,5.7296e-05,1.0,8.0
625,Mercer,IL,17290,2.0,1.156737998843262,3.5826049999999996e-05,6.0,2.31261e-05,4.88376e-05,1.0,10.0
626,Monroe,IL,22422,4.0,1.783962180001784,3.56181e-05,8.0,2.4789e-05,4.85771e-05,3.0,13.0
627,Montgomery,IL,30728,17.0,5.532413434001562,4.91418e-05,15.0,3.62948e-05,6.25151e-05,7.0,22.0
628,Morgan,IL,36397,6.0,1.648487512707091,3.1814649999999995e-05,12.0,2.23244e-05,4.20424e-05,5.0,18.0
629,Moultrie,IL,13930,3.0,2.1536252692031583,3.9912799999999995e-05,5.0,2.67247e-05,5.4326e-05,1.0,9.0
630,Ogle,IL,45957,13.0,2.828731205257088,3.6530800000000006e-05,17.0,2.60825e-05,4.71091e-05,8.0,24.0
631,Peoria,IL,182827,39.0,2.1331641387760016,2.58906e-05,47.0,2.03727e-05,3.145e-05,32.0,62.0
632,Perry,IL,21412,7.0,3.269194844012703,4.11915e-05,9.0,2.86037e-05,5.49093e-05,3.0,14.0
633,Piatt,IL,15548,2.0,1.2863390789812197,3.6769250000000004e-05,6.0,2.41271e-05,5.04403e-05,2.0,10.0
634,Pike,IL,17577,4.0,2.2757012004323838,3.9407100000000004e-05,7.0,2.71696e-05,5.445e-05,2.0,11.0
635,Pope,IL,4373,2.0,4.5735193231191404,4.55589e-05,2.0,3.03366e-05,6.14053e-05,0.0,4.0
636,Pulaski,IL,7523,1.0,1.3292569453675396,4.0642900000000004e-05,3.0,2.58223e-05,5.50888e-05,0.0,6.0
637,Putnam,IL,5730,2.0,3.4904013961605584,4.464e-05,2.0,2.9911e-05,6.15647e-05,0.0,5.0
638,Randolph,IL,34583,14.0,4.0482317901859295,4.3231599999999994e-05,15.0,3.12872e-05,5.57624e-05,6.0,21.0
639,Richland,IL,16545,4.0,2.4176488365064976,3.93211e-05,6.0,2.72138e-05,5.47065e-05,2.0,11.0
640,Rock island,IL,148723,0.0,0.0,1.017365e-05,15.0,6.57098e-06,1.39878e-05,7.0,23.0
641,Saline,IL,26551,6.0,2.259801890700915,3.6959949999999995e-05,10.0,2.51059e-05,4.85948e-05,4.0,15.0
642,Sangamon,IL,178386,39.0,2.1862702229995628,2.635325e-05,47.0,2.08709e-05,3.21294e-05,32.0,61.0
643,Schuyler,IL,7498,2.0,2.667377967457989,4.296875e-05,3.0,2.8711e-05,5.79913e-05,0.0,6.0
644,Scott,IL,5644,3.0,5.315379163713678,4.6750749999999996e-05,3.0,3.11429e-05,6.32676e-05,0.0,5.0
645,Shelby,IL,22261,4.0,1.7968644714972375,3.58503e-05,8.0,2.43771e-05,4.86063e-05,3.0,13.0
646,St. clair,IL,262852,0.0,0.0,6.41233e-06,17.0,4.24662e-06,8.84868e-06,7.0,25.0
647,Stark,IL,6534,1.0,1.5304560759106214,4.1716750000000003e-05,3.0,2.74947e-05,5.72162e-05,0.0,5.0
648,Stephenson,IL,48052,17.0,3.537834013152418,4.030285e-05,19.0,3.00297e-05,5.18484e-05,9.0,27.0
649,Tazewell,IL,123692,32.0,2.5870711121171945,3.074785e-05,38.0,2.36524e-05,3.76783e-05,24.0,50.0
650,Union,IL,17619,10.0,5.675691015381123,4.88831e-05,8.0,3.47214e-05,6.35069e-05,4.0,14.0
651,Vermilion,IL,88257,31.0,3.512469265893924,3.8430749999999995e-05,34.0,2.97814e-05,4.76037e-05,21.0,45.0
652,Wabash,IL,13111,0.0,0.0,3.4762849999999995e-05,4.0,2.14378e-05,4.70235e-05,1.0,8.0
653,Warren,IL,19181,6.0,3.1280955111829414,4.0795950000000004e-05,8.0,2.67844e-05,5.38363e-05,3.0,13.0
654,Washington,IL,14965,6.0,4.009355162044771,4.39609e-05,6.0,3.09126e-05,5.97187e-05,2.0,11.0
655,Wayne,IL,17241,2.0,1.1600255205614525,3.5694699999999996e-05,6.0,2.32706e-05,4.86332e-05,2.0,10.0
656,White,IL,16522,3.0,1.8157608037767825,3.78486e-05,6.0,2.54112e-05,5.17818e-05,1.0,10.0
657,Whiteside,IL,60186,10.0,1.6615159671684447,2.8775049999999998e-05,17.0,2.02059e-05,3.82286e-05,8.0,25.0
658,Will,IL,357313,61.0,1.7071866962579028,2.00876e-05,72.0,1.64954e-05,2.38329e-05,53.0,90.0
659,Williamson,IL,57733,15.0,2.5981674259089256,3.4179450000000004e-05,20.0,2.48947e-05,4.38611e-05,11.0,28.0
660,Winnebago,IL,252913,60.0,2.3723572928240144,2.675475e-05,68.0,2.19447e-05,3.18328e-05,50.0,86.0
661,Woodford,IL,32653,5.0,1.531252871099133,3.2437e-05,10.0,2.2186e-05,4.24598e-05,4.0,16.0
662,Adams,IN,31095,8.0,2.5727608940344107,3.714565e-05,12.0,2.60069e-05,4.8632e-05,4.0,17.0
663,Allen,IN,300836,49.0,1.6287944261989924,2.0021299999999998e-05,60.0,1.61914e-05,2.40948e-05,42.0,76.0
664,Bartholomew,IN,63657,17.0,2.67056254614575,3.423825e-05,22.0,2.5195e-05,4.3657e-05,12.0,31.0
665,Benton,IN,9441,3.0,3.177629488401652,4.301995e-05,4.0,2.92409e-05,5.85363e-05,0.0,7.0
666,Blackford,IN,14067,2.0,1.4217672567000783,3.81506e-05,5.0,2.40622e-05,5.06719e-05,1.0,9.0
667,Boone,IN,38147,9.0,2.3592943088578395,3.510815e-05,13.0,2.48645e-05,4.66508e-05,6.0,20.0
668,Brown,IN,14080,4.0,2.840909090909091,4.1144749999999996e-05,6.0,2.85154e-05,5.71993e-05,2.0,10.0
669,Carroll,IN,18809,9.0,4.784943378170025,4.64373e-05,9.0,3.18823e-05,6.10147e-05,3.0,14.0
670,Cass,IN,38413,13.0,3.384270949938823,3.9716e-05,15.0,2.92787e-05,5.21955e-05,8.0,23.0
671,Clark,IN,87777,20.0,2.278501201909384,3.036485e-05,27.0,2.26649e-05,3.79583e-05,15.0,36.0
672,Clay,IN,24705,8.0,3.238210888484113,4.047335e-05,10.0,2.76654e-05,5.3036e-05,3.0,15.0
673,Clinton,IN,30974,4.0,1.2914056950991155,3.21281e-05,10.0,2.14863e-05,4.27509e-05,3.0,15.0
674,Crawford,IN,9914,6.0,6.0520476094411935,4.830255e-05,5.0,3.33495e-05,6.53666e-05,1.0,8.0
675,Daviess,IN,27533,8.0,2.9056041840700253,3.9036100000000004e-05,11.0,2.76704e-05,5.20106e-05,5.0,17.0
676,De kalb,IN,35324,0.0,0.0,2.47781e-05,9.0,1.62215e-05,3.44569e-05,3.0,14.0
677,Dearborn,IN,38835,8.0,2.059997425003219,3.3989600000000004e-05,13.0,2.31103e-05,4.45573e-05,6.0,20.0
678,Decatur,IN,23645,8.0,3.383379149925989,4.11103e-05,10.0,2.891e-05,5.42103e-05,4.0,15.0
679,Delaware,IN,119659,29.0,2.423553598141385,2.99302e-05,35.0,2.26651e-05,3.70414e-05,23.0,48.0
680,Dubois,IN,36616,16.0,4.369674459252786,4.4749099999999995e-05,16.0,3.29595e-05,5.7201e-05,9.0,24.0
681,Elkhart,IN,156198,32.0,2.048681801303474,2.57495e-05,40.0,1.97864e-05,3.14672e-05,25.0,53.0
682,Fayette,IN,26015,3.0,1.1531808571977704,3.250585e-05,8.0,2.24556e-05,4.4705e-05,2.0,13.0
683,Floyd,IN,64404,16.0,2.484317744239488,3.315175000000001e-05,21.0,2.47505e-05,4.22772e-05,11.0,30.0
684,Fountain,IN,17808,5.0,2.807726864330638,4.019705e-05,7.0,2.75724e-05,5.49101e-05,3.0,12.0
685,Franklin,IN,19580,2.0,1.021450459652707,3.466175e-05,7.0,2.24248e-05,4.69973e-05,2.0,11.0
686,Fulton,IN,18840,4.0,2.123142250530785,3.818525e-05,7.0,2.46142e-05,5.11149e-05,2.0,12.0
687,Gibson,IN,31913,5.0,1.5667596277379123,3.297865e-05,10.0,2.24779e-05,4.44037e-05,4.0,16.0
688,Grant,IN,74169,25.0,3.370680472973884,3.8192849999999995e-05,28.0,2.87442e-05,4.7725e-05,16.0,38.0
689,Greene,IN,30410,5.0,1.644195988161789,3.3667e-05,10.0,2.3114e-05,4.5111e-05,4.0,16.0
690,Hamilton,IN,108936,15.0,1.3769552764926194,2.27795e-05,25.0,1.63047e-05,2.915e-05,14.0,35.0
691,Hancock,IN,45527,9.0,1.976848902848859,3.17308e-05,14.0,2.1992e-05,4.12374e-05,6.0,21.0
692,Harrison,IN,29890,6.0,2.0073603211776514,3.53384e-05,10.0,2.46108e-05,4.66049e-05,4.0,16.0
693,Hendricks,IN,75717,13.0,1.716919582128188,2.7317699999999998e-05,20.0,1.93393e-05,3.52252e-05,10.0,29.0
694,Henry,IN,48139,18.0,3.739171981137955,4.154225e-05,20.0,3.05525e-05,5.33368e-05,10.0,28.0
695,Howard,IN,80827,14.0,1.7320944733814196,2.72441e-05,22.0,1.98415e-05,3.48742e-05,13.0,32.0
696,Huntington,IN,35427,10.0,2.8227058458238066,3.7714e-05,13.0,2.7348e-05,4.97305e-05,6.0,20.0
697,Jackson,IN,37730,14.0,3.710575139146568,4.128215e-05,15.0,2.89799e-05,5.26857e-05,8.0,23.0
698,Jasper,IN,24960,9.0,3.6057692307692313,4.216025e-05,10.0,2.99193e-05,5.45378e-05,4.0,16.0
699,Jay,IN,21512,6.0,2.7891409445890667,3.9629300000000004e-05,8.0,2.64867e-05,5.25658e-05,4.0,14.0
700,Jefferson,IN,29797,8.0,2.684834043695674,3.79721e-05,11.0,2.71197e-05,4.99898e-05,5.0,17.0
701,Jennings,IN,23661,4.0,1.690545623600017,3.51561e-05,8.0,2.36815e-05,4.73742e-05,2.0,13.0
702,Johnson,IN,88109,17.0,1.9294283217378472,2.7863049999999997e-05,24.0,2.06641e-05,3.56276e-05,15.0,35.0
703,Knox,IN,39884,12.0,3.0087253033798014,3.7872550000000004e-05,15.0,2.69102e-05,4.94903e-05,7.0,22.0
704,Kosciusko,IN,65294,14.0,2.1441480074738872,3.09874e-05,20.0,2.19968e-05,3.96714e-05,11.0,29.0
705,La porte,IN,107066,0.0,0.0,1.30604e-05,14.0,8.34434e-06,1.78018e-05,6.0,21.0
706,Lagrange,IN,29477,8.0,2.713980391491672,3.81085e-05,11.0,2.67147e-05,4.96571e-05,4.0,17.0
707,Lake,IN,475594,87.0,1.829291370370526,2.04513e-05,97.0,1.73306e-05,2.37976e-05,74.0,118.0
708,Lawrence,IN,42836,10.0,2.334485012606219,3.40546e-05,15.0,2.36005e-05,4.42012e-05,7.0,22.0
709,Madison,IN,130669,37.0,2.831582089095348,3.25019e-05,42.0,2.54928e-05,3.93795e-05,28.0,56.0
710,Marion,IN,797159,154.0,1.93186051967048,2.0663200000000002e-05,165.0,1.8066e-05,2.31607e-05,132.0,191.0
711,Marshall,IN,42182,5.0,1.1853397183632828,2.89007e-05,12.0,1.98776e-05,3.8516e-05,6.0,19.0
712,Martin,IN,10369,5.0,4.822065772977143,4.60771e-05,5.0,3.03129e-05,6.13091e-05,1.0,8.0
713,Miami,IN,36897,5.0,1.3551237227958912,3.071525e-05,11.0,2.10941e-05,4.08812e-05,4.0,17.0
714,Monroe,IN,108978,12.0,1.1011396795683532,2.074e-05,22.0,1.47734e-05,2.67998e-05,11.0,31.0
715,Montgomery,IN,34436,6.0,1.742362643744918,3.31033e-05,11.0,2.32839e-05,4.36577e-05,4.0,17.0
716,Morgan,IN,55920,15.0,2.682403433476394,3.45439e-05,19.0,2.51944e-05,4.51707e-05,9.0,27.0
717,Newton,IN,13551,7.0,5.165670430226551,4.6929549999999995e-05,6.0,3.21817e-05,6.25265e-05,1.0,10.0
718,Noble,IN,37877,7.0,1.8480872297172424,3.32082e-05,12.0,2.33486e-05,4.40557e-05,5.0,19.0
719,Ohio,IN,5315,0.0,0.0,4.05083e-05,2.0,2.53962e-05,5.56815e-05,0.0,4.0
720,Orange,IN,18409,7.0,3.8024879135205607,4.31189e-05,8.0,2.95204e-05,5.74024e-05,3.0,13.0
721,Owen,IN,17281,4.0,2.314680863375962,3.90913e-05,7.0,2.6316e-05,5.28337e-05,2.0,11.0
722,Parke,IN,15410,6.0,3.893575600259572,4.4208750000000006e-05,7.0,2.97173e-05,5.77955e-05,2.0,11.0
723,Perry,IN,19107,9.0,4.710315591144607,4.6007900000000004e-05,9.0,3.26898e-05,6.08147e-05,3.0,14.0
724,Pike,IN,12509,3.0,2.3982732432648493,4.0630900000000004e-05,5.0,2.6716e-05,5.51353e-05,0.0,8.0
725,Porter,IN,128932,24.0,1.8614463438091395,2.5272250000000002e-05,32.5,1.91877e-05,3.18333e-05,21.0,45.0
726,Posey,IN,25968,8.0,3.080714725816389,3.996895e-05,10.0,2.83466e-05,5.35077e-05,4.0,16.0
727,Pulaski,IN,12643,3.0,2.372854544016452,4.07733e-05,5.0,2.77133e-05,5.60965e-05,1.0,9.0
728,Putnam,IN,30315,10.0,3.2986970146792016,3.994855e-05,12.0,2.88549e-05,5.26256e-05,6.0,19.0
729,Randolph,IN,27148,16.0,5.893620156180934,5.019535e-05,14.0,3.63313e-05,6.41073e-05,6.0,20.0
730,Ripley,IN,24616,12.0,4.874878128046799,4.658895e-05,11.0,3.35371e-05,6.03713e-05,4.0,17.0
731,Rush,IN,18129,5.0,2.7580120249324285,4.0311e-05,7.0,2.68636e-05,5.43192e-05,2.0,12.0
